n,S,I,R,S/I
0,9000,900,300,10
1,2253,7470,477,0.30160642570281126
2,568.02,7665.75,1966.2299999999998,0.07409842481166226
3,161.66729999999998,6558.615000000001,3479.7176999999992,0.024649609711806526
4,75.214002,5368.142475000001,4756.643522999999,0.014011178419775453
5,66.36993572999998,4350.9244815,5782.705582769999,0.015254214595588352
6,74.41953976019998,3530.5170369975003,6595.063423242299,0.021078935175877094
7,84.55551917247298,2880.2282844181505,7235.216196409376,0.02935722825510495
8,93.491041757212,2367.5992669138755,7738.909691328911,0.03948769669922898
9,100.7618573525921,1964.1976948490096,8135.0404477983975,0.05129924427507171
10,106.54086881613199,1646.9295488936518,8446.529582290215,0.06469060494281757
11,111.10051302693515,1397.4492907270205,8691.450196246044,0.07950235744807263
12,114.68963021919421,1201.2848173518178,8884.025552428986,0.09547247127623132
13,117.51266307908841,1047.04507654585,9035.442260375059,0.11223266859413245
14,119.7325883735227,925.7705585459963,9154.496853080478,0.12933289708583218
15,121.47811562418545,830.4158881169391,9248.105996258872,0.1462858759839611
16,122.85058886863507,755.4412972116904,9321.70811391967,0.16262095985759933
17,123.92972835635547,696.4909794208286,9379.579292222812,0.17793443421106475
18,124.77822501131698,650.1400798039294,9425.08169518475,0.1919251387315605
19,125.44537320467674,613.6957326016313,9460.858894193689,0.20440972055138465
20,125.96993224310607,585.0406159848127,9488.989451772077,0.21531826817024988
21,126.3823775784973,562.5099419701797,9511.107680451318,0.22467581130361103
22,126.7066711991375,544.7947367600168,9528.498592040842,0.23257690034357298
23,126.9616537201928,530.8657928073666,9542.172553472436,0.23915960576172016
24,127.16213896477257,519.9138745360378,9552.923986499183,0.24458308422380506
25,127.31977460618498,511.3027038524097,9561.377521541399,0.24901056389276696
26,127.44371886696024,504.5319940365665,9568.024287096467,0.25259789344047745
27,127.54117258770472,499.2083843794734,9573.250443032815,0.255486839922052
28,127.61779757725435,495.0225869443573,9577.35961547838,0.2578019689263172
29,127.6780455490974,491.7314177384266,9580.590536712469,0.25964996529266904
30,127.72541675439905,489.14366835256436,9583.13091489303,0.26112045400603506
31,127.76266333753006,487.10899724785077,9585.128339414612,0.2622876277370871
32,127.79194922852864,485.5091953014282,9586.698855470037,0.2632122119730174
33,127.81497586183252,484.25131816253906,9587.933705975622,0.26394347535659446
34,127.83308102521436,483.2622864264057,9588.904632548374,0.26452111951566826
35,127.84731658178734,482.48463991003536,9589.668043508173,0.2649769671540754
36,127.85850958052856,481.8731993643688,9590.268291055098,0.2653364199320167
37,127.86731030568312,481.3924416768915,9590.74024801742,0.2656196882947886
38,127.874230056595,481.01443607077556,9591.111333872625,0.26584281149886285
39,127.879670852875,480.7172213990667,9591.403107748052,0.26601849311888054
40,127.88394879069928,480.48353025890964,9591.632520950385,0.2661567790300507
41,127.88731240717867,480.2997858001522,9591.812901792662,0.26626560366693824
42,127.88995711972129,480.1553129455058,9591.954729934767,0.2663512277624967
43,127.892036579278,480.04171819619563,9592.066245224521,0.26641858765909976
44,127.89367159706471,479.952401991415,9592.153926411516,0.2664715731526902
45,127.89495716338135,479.8821752909306,9592.222867545684,0.26651324793600534
46,127.89596796630218,479.8269581052805,9592.277073928413,0.26654602415698386
47,127.89676273085968,479.78354245895105,9592.319694810185,0.2665718004318628
48,127.89738763081677,479.74940601530557,9592.353206353873,0.26659207083361436
49,127.89787897124292,479.7225655353571,9592.379555493397,0.26660801087918895
50,127.8982652977447,479.7014616567179,9592.400273045534,0.26662054532006146
51,127.89856905489151,479.6848682986829,9592.416562646422,0.2666304015561599
52,127.8988078901871,479.67182143011496,9592.429370679694,0.2666381517031038
53,127.89899567934373,479.6615630617323,9592.439441258919,0.2666442457113937
54,127.89914333242513,479.65349720889367,9592.447359458676,0.26664903743362856
55,127.89925942769304,479.6471552664338,9592.453585305868,0.2666528051368255
56,127.89935070998195,479.6421687839168,9592.458480506095,0.2666557676408176
57,127.89942248255643,479.6382480596199,9592.462329457818,0.2666580970136858
58,127.89947891521729,479.6351653096133,9592.465355775163,0.26665992855768994
59,127.89952328655595,479.6327414341036,9592.467735279333,0.266661368663315
60,127.89955817443233,479.6308356121998,9592.46960621336,0.26666250098616284
61,127.89958560574169,479.62933712058407,9592.471077273667,0.26666339130457806
62,127.8996071741721,479.62815890077354,9592.472233925047,0.2666640913396251
63,127.8996241327935,479.62723250124793,9592.473143365953,0.2666646417589742
64,127.89963746685791,479.6265041005935,9592.473858432542,0.26666507453898575
65,127.8996479510399,479.6259313806182,9592.474420668335,0.2666654148220818
66,127.89965619444334,479.62548106777456,9592.474862737776,0.2666656823772259
67,127.8996626759886,479.6251270000522,9592.475210323953,0.26666589274830604
68,127.89966777223668,479.6248486070332,9592.475483620725,0.26666605815710687
69,127.89967177926643,479.6246297148041,9592.475698505925,0.2666661882133087
70,127.89967492987586,479.6244576062931,9592.475867463827,0.2666662904727519
71,127.89967740710723,479.6243222824414,9592.476000310447,0.26666637087639106
72,127.89967935488129,479.6242158812836,9592.476104763831,0.2666664340954356
73,127.89968088635864,479.6241322211879,9592.47618689245,0.2666664838027275
74,127.89968209051416,479.6240664417193,9592.476251467764,0.2666665228861189
75,127.89968303730618,479.6240147212611,9592.47630224143,0.26666655361624564
76,127.89968378174083,479.6239740549886,9592.476342163267,0.2666665777784436
77,127.89968436706789,479.6239420802965,9592.47637355263,0.266666596776471
78,127.89968482729329,479.6239169395381,9592.476398233164,0.2666666117140619
79,127.89968518915497,479.62389717210044,9592.47641763874,0.26666662345905073
80,127.89968547367614,479.6238816295466,9592.476432896772,0.26666663269379004
81,127.89968569738676,479.6238694088944,9592.476444893715,0.26666663995479395
82,127.89968587328384,479.62385980015563,9592.476454326557,0.2666666456639077
83,127.89968601158654,479.62385224508745,9592.476461743323,0.26666665015281577
84,127.89968612032986,479.6238463047599,9592.476467574907,0.266666653682312
85,127.89968620583154,479.62384163405534,9592.47647216011,0.266666656457451
86,127.89968627305898,479.62383796161794,9592.47647576532,0.2666666586394611
87,127.89968632591794,479.62383507408856,9592.476478599989,0.2666666603551114
88,127.89968636747938,479.6238328037093,9592.476480828807,0.26666666170407666
89,127.89968640015792,479.623831018577,9592.476482581262,0.26666666276472833
90,127.8996864258521,479.6238296149801,9592.476483959164,0.26666666359868746
91,127.89968644605467,479.6238285113731,9592.476485042569,0.26666666425440505
92,127.89968646193935,479.6238276436395,9592.476485894418,0.2666666647699764
93,127.89968647442902,479.62382696136615,9592.476486564201,0.266666665175355
94,127.89968648424927,479.6238264249147,9592.476487090833,0.26666666549409224
95,127.89968649197066,479.6238260031187,9592.476487504908,0.26666666574470593
96,127.89968649804175,479.623825671473,9592.476487830481,0.2666666659417561
97,127.89968650281526,479.62382541070974,9592.47648808647,0.2666666660966908
98,127.89968650656851,479.6238252056793,9592.476488287746,0.2666666662185114
99,127.8996865095196,479.6238250444698,9592.476488446006,0.2666666663142953
100,127.89968651183996,479.6238249177156,9592.47648857044,0.26666666638960745
